idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,COMUNA/CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
5,317,Concepción 6,noche,3,09:00,21:00,,,41 - 2- 227048,,41 - 2- 227048,1000,2016-04-05,STORE,14,,Concepción,8101,Barros Arana N° 779,,,,,
5,318,Ovalle 2,noche,3,09:00,22:00,,,53 - 2- 622961,,53 - 2- 622961,1000,2016-04-05,STORE,14,,Ovalle,4301,Vicuña Mackenna N° 46,,,,,
5,319,Temuco 5,noche,3,09:00,22:00,,,45 - 2- 237144,,45 - 2- 237144,1000,2016-04-05,STORE,14,,Temuco,9101,Bulnes N° 532,,,,,
5,322,Arica 2,noche,3,09:00,23:00,,,58 -2- 25 52 74,,,1000,2016-04-05,MULTIF. GONDOLA,12,,Arica,15101,Colón N° 598,,,,,
5,324,Jumbo Talca,noche,3,09:00,22:00,,,71 - 2- 510147,,71 - 2- 510147,1000,2016-04-05,STORE,14,,Talca,7101,El Arenal N°411 Local 1010,,,,,
5,325,Calama 1,noche,3,09:00,22:30,,,55- 2- 310275,,55- 2- 310275,1000,2016-04-05,MULTIFUNCIONAL,13,,Calama,2201,Latorre N° 1987,,,,,
5,326,Antofagasta 3,noche,3,08:30,21:30,,,55 - 2- 227195,,55 - 2- 227195,1000,2016-04-05,MULTIFUNCIONAL,13,,Antofagasta,2101,Matta N° 2441,,,,,
5,328,Iquique 2,noche,3,09:00,22:30,,,57- 2- 421276,,57- 2- 421276,1000,2016-04-05,MULTIFUNCIONAL,13,,Iquique,1101,Vivar N° 761 - 765,,,,,
5,329,Curicó 2,noche,3,09:00,21:00,,,75 - 2- 322176,,75 - 2- 322176,1000,2016-04-05,STORE,14,,Curicó,7301,Peña N°856,,,,,
5,330,San Carlos,noche,3,09:00,22:00,,,75 - 2- 322176,,42 - 2- 411476,1000,2016-04-05,STORE,14,,San Carlos,8416,Ignacio Serrano N° 593,,,,,
5,331,Cauquenes,noche,3,09:00,21:00,,,73 - 2- 513166,,73 - 2- 513166,1000,2016-04-05,STORE,14,,Cauquenes,7201,Victoria N°520,,,,,
5,333,Copiapó 2,noche,3,09:00,22:30,,,52 - 2- 213697,,52 - 2- 213697,1000,2016-04-05,MULTIF. GONDOLA,12,,Copiapó,3101,Colipi N° 484 L- G103-104,,,,,
5,334,Osorno 4,noche,3,10:00,20:00,,,64 - 2- 243222,,64 - 2- 243222,1000,2016-04-05,MULTIFUNCIONAL,13,,Osorno,10301,Eleuterio Ramírez N°1107,,,,,
5,335,Antofagasta 4,noche,3,08:30,23:00,,,55- 2- 224418,,55- 2- 224418,1000,2016-04-05,STORE,14,,Antofagasta,2101,Arturo Prat N° 553 - 555,,,,,
5,339,Talca 3,noche,3,09:00,21:00,,,71 - 2- 234647,,71 - 2- 234647,1000,2016-04-05,STORE,14,,Talca,7101,Uno Sur N°1696,,,,,
5,341,Concepción 7,noche,3,09:00,21:00,,,41- 2- 559489,,41- 2- 559489,1000,2016-04-05,MULTIFUNCIONAL,13,,Concepción,8101,Barros Arana N°709,,,,,
5,343,Iquique 3,noche,3,08:00,21:00,,,57- 2- 427157,,57- 2- 427157,1000,2016-04-05,MULTIFUNCIONAL,13,,Iquique,1101,Tarapacá N°538,,,,,
5,345,Villarrica 2,noche,3,09:00,22:00,,,45- 2- 413792,,45- 2- 413792,1000,2016-04-05,STORE,14,,Villarrica,9120,Camilo Henríquez N°547,,,,,
5,347,Los Ángeles 2,noche,3,09:00,22:00,,,43 - 2- 327543,,,1000,2016-04-05,STORE,14,,Los Ángeles,8301,Colón N°412,,,,,
5,348,Arica 3,noche,3,08:30,23:00,,,58 - 2- 253551,,58 - 2- 253551,1000,2016-04-05,STORE,14,,Arica,15101,21 de Mayo N°298-300,,,,,
5,349,Puerto Varas 2,noche,3,09:00,22:00,,,65 - 2- 235190,,65 - 2- 235190,1000,2016-04-05,STORE,14,,Puerto Varas,10109,Del Salvador N°400,,,,,
5,350,Talcahuano 2,noche,3,09:00,22:00,,,41 - 2- 482962,,41 - 2- 482962,1000,2016-04-05,STORE,14,,Talcahuano,8110,Bulevar Plaza del Trébol L-26,,,,,
5,351,Vallenar,noche,3,09:00,22:30,,,51 - 2- 611502,,51 - 2- 611502,1000,2016-04-05,STORE,14,,Vallenar,3301,Arturo Prat N°1120,,,,,
5,354,Iquique 4,noche,3,08:30,22:30,,,57- 2- 471143,,57- 2- 471143,1000,2016-04-05,STORE,14,,Iquique,1101,Tarapacá N° 671 - 683,,,,,
5,355,Osorno 5,noche,3,09:00,21:00,,,64 - 2- 253035,,64 - 2- 253035,1000,2016-04-05,STORE,14,,Osorno,10301,Eleuterio Ramírez N° 935,,,,,
5,356,San Antonio 2,noche,3,08:00,21:30,,,35 - 2- 213887,,,1000,2016-04-05,STORE,14,,San Antonio,5601,Centenario N° 102,,,,,
5,357,Punta Arenas 1,noche,3,09:00,22:00,,,61 - 2- 240973,,61 - 2- 240973,1000,2016-04-05,STORE,14,,Punta Arenas,12101,Avda. Bories N° 971 - 972,,,,,
5,358,Coronel,noche,3,09:00,21:30,,,41 - 2- 711577,,41 - 2- 772337,1000,2016-04-05,STORE,14,,Coronel,8102,Manuel Montt N° 401,,,,,
