idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
1,48,Valdivia,noche,3,10:00,21:00,,,63- 2- 2213044,,,93424,2016-02-08,No Peatonales,8,DE LOS LAGOS,Valdivia,14203,Arauco N° 561 Local 156,,,,,
1,49,Mall Plaza Sur,noche,3,10:00,21:30,,,2- 8578225,,,54636,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13401,Avda. Jorge Alessandri N° 20040 Local 149,,,,,
1,50,Patronato,noche,3,08:45,20:45,,,2- 7150200,,,91227,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13108,Santa Filomena N° 499,,,,,
1,51,Copiapó,dia y noche,4,08:45,20:45,,,52- 2- 232456,,,102223,2016-02-08,Peatonales,7,DE ATACAMA,Copiapó,3101,O´Higgins N° 513,,,,,
1,52,Iquique,dia y noche,4,09:00,20:45,,,2- 4227100,,,123337,2016-02-08,Peatonales,7,DE TARAPACÁ,Iquique,1101,Vivar N° 610,,,,,
1,53,San Fernando,noche,3,08:45,20:45,,,72- 2- 716813,,,72560,2016-02-08,Peatonales,7,DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS,San Fernando,6301,Avda. Manuel Rodríguez N° 720-724-726,,,,,
1,54,Calama,noche,3,10:00,21:30,,,55- 2 717337,,,59265,2016-02-08,No Peatonales,8,DE ANTOFAGASTA,Calama,2201,Balmaceda N° 3242,,,,,
1,56,Belloto,noche,3,10:00,21:00,,,24227100,,,76786,2016-02-08,No Peatonales,8,DE VALPARAÍSO,Viña del Mar,5109,Avda. Ramón FreireN° 2414,,,,,
1,57,Quillota,noche,3,,,,,,,,1024,2016-02-08,No Peatonales,8,DE VALPARAÍSO,Quillota,5501,,,,,,
1,58,El Faro Apumanque,noche,3,08:45,20:45,,,2- 3424009,,,71039,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13114,Avda. Apoquindo N° 6033 L-18-19,,,,,
1,59,Florida Center,noche,3,10:00,21:55,,,7- 1838094,,,71964,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13110,Avda. Vicuña Mackenna N° 6100,,,,,
1,60,Puente 3,dia y noche,4,08:30,21:00,,,24227100,,,103589,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13101,Puente N°722,,,,,
1,62,Irarrazaval,noche,3,08:45,21:00,,,2- 2748071,,,56136,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13120,Avda. Irarrazaval N° 2626,,,,,
1,63,Tienda Arica,noche,3,08:55,20:55,,,58- 2- 230907,,,99953,2016-02-08,Peatonales,7,DE TARAPACÁ,Arica,15102,21 de Mayo N° 237-241,,,,,
1,64,Mall Curicó,noche,3,10:30,21:00,,,75- 2- 558710,,,66201,2016-02-08,No Peatonales,8,DEL MAULE,Curicó,7301,Avda. Libertador Bernardo O´Higgins N° 201 Local 16,,,,,
1,65,Mall Centro Talca,noche,3,10:00,21:00,,,71- 2- 239266,,,48953,2016-02-08,No Peatonales,8,DEL MAULE,Talca,7101,1 sur N° 1537 Local 113,,,,,
1,66,Open Constitución,noche,3,08:45,21:00,,,71- 2- 2674993,,,66454,2016-02-08,No Peatonales,8,DEL MAULE,Constitución,7102,Freire N° 586,,,,,
1,67,Open San Carlos,noche,3,08:45,20:45,,,2- 4227100,,,61603,2016-02-08,No Peatonales,8,DEL BIO-BIO,Chillán,8416,Serrano N° 533,,,,,
1,68,Vallenar,noche,3,08:45,20:45,,,5- 3331661,,,49694,2016-02-08,Peatonales,7,DE ATACAMA,Vallenar,3301,Arturo Prat N° 1099,,,,,
1,69,Chillán 2,noche,3,08:45,20:45,,,42- 2- 225213,,,90598,2016-02-08,Peatonales,7,DEL BIO-BIO,Chillán,8401,5 de Abril N° 735,,,,,
1,70,San Felipe,noche,3,10:00,21:00,,,2- 4227100,,,52701,2016-02-08,Peatonales,7,DE VALPARAÍSO,San Felipe de Aconcagua,5701,Arturo Prat N° 982,,,,,
1,71,Los Andes,noche,3,10:00,21:00,,,34- 2- 406171,,,63494,2016-02-08,Peatonales,7,DE VALPARAÍSO,Los Andes,5301,Esmeralda N° 273,,,,,
1,72,Amunategui,noche,3,09:00,21:00,,,9- 4482232,,,66984,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13101,Avda. Libertador Bernardo O´higgins N° 1395,,,,,
1,73,Huérfanos,noche,3,10:00,21:30,,,2- 3714560,,,72171,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13101,Huérfanos N° 1039,,,,,
1,74,Melipilla,noche,3,08:45,20:45,,,2- 8327680,,,60594,2016-02-08,Peatonales,7,METROPOLITANA,Melipilla,13501,Plaza de Armas N° 489,,,,,
1,75,Coronel,noche,3,08:45,20:45,,,41- 2- 774713,,,84593,2016-02-08,Peatonales,7,DEL BIO-BIO,Concepción,8102,Montt N° 350-360,,,,,
